,AGE,TRANS_CIS,GEDUCATION,POVERTYCAT_I,RACE_RECODE_CAT5,SEX
185,59,Cis,2,2,1,Male
186,49,Cis,4,4,1,Female
187,72,Cis,6,4,1,Female
188,72,Cis,2,4,1,Male
189,68,Cis,5,2,1,Female
190,64,Cis,6,4,1,Male
191,19,Cis,1,4,1,Male
192,44,Cis,5,3,1,Female
193,30,Cis,5,4,1,Male
194,60,Cis,5,4,1,Female
195,66,Cis,4,1,1,Female
196,55,Cis,6,4,1,Female
197,51,Cis,6,4,1,Female
198,39,Cis,6,4,4,Female
199,37,Cis,6,4,1,Male
200,60,Cis,4,3,1,Male
201,29,Cis,5,4,1,Female
202,72,Cis,4,3,1,Female
203,59,Cis,2,4,1,Male
204,35,Cis,5,2,1,Female
205,64,Cis,4,4,1,Male
206,66,Cis,6,1,1,Male
207,65,Cis,5,4,1,Male
208,72,Cis,5,4,1,Male
209,23,Cis,4,2,3,Female
210,51,Cis,1,1,1,Male
211,68,Cis,6,4,1,Female
212,72,Cis,4,4,4,Male
213,56,Cis,3,3,3,Male
214,65,Cis,6,4,1,Female
215,72,Cis,4,2,3,Male
216,66,Cis,6,4,3,Male
217,65,Cis,5,4,1,Female
218,33,Cis,4,1,1,Male
219,71,Cis,3,4,1,Female
220,72,Cis,6,4,1,Male
221,72,Cis,6,4,1,Male
222,61,Cis,4,1,1,Female
223,69,Cis,6,4,1,Female
224,63,Cis,5,4,1,Male
225,66,Cis,6,2,1,Female
226,72,Cis,5,4,1,Female
227,72,Cis,6,3,1,Female
228,28,Cis,6,1,1,Female
229,68,Cis,4,4,1,Female
230,71,Cis,3,4,1,Male
231,72,Cis,4,3,1,Female
232,72,Cis,2,2,1,Male
233,72,Cis,6,4,1,Female
234,60,Cis,2,1,4,Female
235,62,Cis,2,3,1,Female
236,61,Cis,2,4,1,Male
237,72,Cis,6,4,1,Male
238,72,Cis,6,4,1,Male
239,65,Cis,4,2,2,Male
240,36,Cis,6,4,1,Male
241,46,Cis,2,1,4,Female
242,64,Cis,2,4,1,Female
243,65,Cis,4,1,1,Female
244,31,Cis,5,1,3,Female
245,65,Cis,6,4,1,Female
246,68,Cis,6,4,1,Male
247,41,Cis,4,3,1,Male
248,29,Cis,6,4,1,Male
249,43,Cis,6,4,1,Female
250,60,Cis,5,4,1,Female
251,57,Cis,5,4,1,Female
252,42,Cis,4,4,1,Male
253,22,Cis,4,1,1,Male
254,53,Cis,4,4,1,Male
255,72,Cis,5,4,1,Female
256,64,Cis,5,4,1,Female
257,26,Cis,4,4,2,Male
258,72,Cis,6,4,1,Male
259,71,Cis,5,3,1,Male
260,52,Cis,3,4,1,Female
261,68,Cis,5,4,3,Male
262,72,Cis,4,3,1,Male
263,69,Cis,4,3,1,Female
264,42,Cis,1,1,1,Female
265,30,Cis,5,3,3,Male
266,43,Cis,4,4,3,Female
267,38,Cis,5,3,1,Female
268,67,Cis,5,4,1,Female
269,41,Cis,4,1,2,Female
270,69,Cis,5,1,1,Female
271,41,Cis,4,4,1,Male
272,72,Cis,6,3,1,Male
273,46,Cis,5,4,1,Male
274,45,Cis,3,3,1,Male
275,51,Cis,5,4,1,Male
276,37,Cis,5,2,1,Female
277,72,Cis,6,3,1,Female
278,56,Cis,4,4,1,Male
279,60,Cis,2,3,1,Male
280,72,Cis,6,4,1,Male
281,41,Cis,6,3,1,Female
282,37,Cis,5,4,1,Male
283,65,Cis,6,4,1,Male
284,69,Cis,4,3,1,Female
285,34,Cis,6,3,2,Male
286,59,Cis,4,4,3,Male
287,72,Cis,5,3,1,Female
288,31,Cis,2,3,4,Male
289,47,Cis,4,4,4,Male
290,72,Cis,2,3,1,Male
291,26,Cis,5,3,4,Male
292,44,Cis,5,4,1,Female
293,48,Cis,4,4,1,Female
294,44,Cis,5,4,1,Male
295,31,Cis,4,1,2,Female
296,60,Cis,4,4,1,Male
297,37,Cis,4,1,1,Female
298,70,Cis,5,4,1,Female
299,70,Cis,5,4,1,Male
300,31,Cis,4,3,5,Male
301,72,Cis,6,4,1,Male
302,23,Cis,4,4,1,Male
303,61,Cis,4,2,1,Male
304,50,Cis,5,4,1,Male
305,62,Cis,4,2,1,Female
306,30,Cis,2,1,2,Male
307,72,Cis,6,2,1,Female
308,54,Cis,5,4,1,Male
309,60,Cis,4,4,1,Female
310,52,Cis,2,1,1,Male
311,65,Cis,6,4,1,Female
312,47,Cis,5,4,1,Male
313,72,Cis,4,4,1,Male
314,69,Cis,4,4,1,Male
315,62,Cis,2,1,1,Female
316,72,Cis,6,4,1,Male
317,72,Cis,5,4,1,Female
318,48,Cis,4,3,4,Male
319,50,Cis,6,4,1,Female
320,62,Cis,6,4,2,Male
321,69,Cis,4,3,1,Female
322,20,Cis,4,3,1,Female
323,67,Cis,2,1,1,Female
324,55,Cis,5,3,1,Male
325,48,Cis,5,4,2,Female
326,64,Cis,6,4,1,Male
327,62,Cis,2,3,1,Male
328,32,Cis,4,2,3,Female
329,69,Cis,4,4,1,Male
330,55,Cis,4,1,4,Male
331,70,Cis,1,1,1,Male
332,29,Cis,6,4,1,Male
333,60,Cis,2,2,1,Male
334,68,Cis,6,4,1,Female
335,54,Cis,6,4,1,Male
336,72,Cis,4,2,1,Male
337,45,Cis,5,4,1,Male
338,47,Cis,5,4,1,Female
339,72,Cis,2,4,1,Female
340,72,Cis,5,2,1,Male
341,46,Cis,5,4,1,Female
342,72,Cis,2,3,1,Male
343,56,Cis,2,3,3,Female
344,35,Cis,4,1,4,Female
345,51,Cis,6,4,5,Male
346,47,Cis,6,4,1,Male
347,72,Cis,5,4,1,Male
348,72,Cis,4,2,1,Female
349,27,Cis,4,4,1,Male
350,72,Cis,4,3,1,Female
351,22,Cis,4,2,1,Male
352,69,Cis,4,4,1,Male
353,54,Cis,6,4,1,Female
354,70,Cis,6,4,1,Female
355,33,Cis,6,4,1,Female
356,72,Cis,6,4,1,Female
357,28,Cis,3,1,3,Male
358,47,Cis,5,4,1,Male
359,57,Cis,1,1,2,Female
360,72,Cis,4,3,1,Female
361,62,Cis,5,4,1,Male
362,71,Cis,2,2,1,Female
363,72,Cis,2,2,1,Male
364,63,Cis,2,3,2,Male
365,69,Cis,5,4,1,Female
366,67,Cis,2,4,1,Male
367,71,Cis,4,2,1,Female
368,52,Cis,2,4,1,Female
369,26,Cis,4,4,1,Female
370,30,Cis,6,4,1,Male
371,31,Cis,2,2,1,Male
372,63,Cis,2,3,1,Female
373,31,Cis,5,4,1,Female
374,69,Cis,6,4,1,Male
375,26,Cis,5,4,1,Male
376,38,Cis,4,4,1,Female
377,38,Cis,4,2,1,Female
378,47,Cis,4,1,1,Female
379,68,Cis,6,4,1,Female
380,72,Cis,2,4,1,Female
381,43,Cis,4,1,5,Male
382,27,Cis,3,4,1,Female
383,22,Cis,1,1,1,Female
384,26,Cis,6,4,1,Female
385,72,Cis,1,3,1,Male
386,34,Cis,2,4,1,Male
387,72,Cis,6,4,1,Male
388,64,Cis,3,4,1,Male
389,32,Cis,4,2,1,Female
390,57,Cis,3,2,1,Male
391,68,Cis,4,3,1,Male
392,56,Cis,2,4,1,Female
393,72,Cis,6,4,1,Male
394,66,Cis,5,2,1,Female
395,59,Cis,5,4,1,Female
396,72,Cis,6,4,1,Male
397,49,Cis,4,2,1,Female
398,63,Cis,4,1,2,Female
399,66,Cis,6,4,1,Female
400,35,Cis,2,3,1,Male
401,62,Cis,5,4,1,Female
402,68,Cis,6,4,1,Male
403,57,Cis,6,4,1,Male
404,67,Cis,5,4,1,Male
405,23,Cis,4,1,1,Female
406,65,Cis,5,2,2,Female
407,72,Cis,2,2,1,Male
408,47,Cis,1,2,1,Female
409,52,Cis,6,4,1,Male
410,58,Cis,6,4,1,Female
411,72,Cis,2,3,1,Female
412,25,Cis,5,2,1,Female
413,72,Cis,4,4,4,Female
414,23,Cis,2,3,1,Male
415,72,Cis,5,4,1,Male
416,72,Cis,4,4,1,Male
417,72,Cis,4,2,1,Female
418,60,Cis,4,1,1,Male
419,61,Cis,3,3,1,Male
420,72,Cis,2,2,1,Female
421,53,Cis,4,4,1,Female
422,58,Cis,5,4,1,Female
423,48,Cis,6,4,1,Female
424,72,Cis,6,4,4,Male
425,22,Cis,4,3,1,Female
426,58,Cis,6,2,1,Female
427,72,Cis,4,4,1,Male
428,26,Cis,5,3,1,Male
429,38,Cis,5,3,1,Female
430,72,Cis,2,2,1,Female
431,72,Cis,4,4,1,Female
432,71,Cis,4,4,1,Male
433,46,Cis,5,4,1,Male
434,72,Cis,5,2,1,Female
