,AGE,TRANS_CIS,GEDUCATION,POVERTYCAT_I,RACE_RECODE_CAT5,SEX
814,30,Cis,4,3,3,Male
815,67,Cis,6,4,1,Male
816,38,Cis,6,4,3,Male
817,65,Cis,5,4,1,Male
818,72,Cis,6,4,1,Female
819,71,Cis,6,4,1,Female
820,72,Cis,2,2,1,Male
821,18,Cis,2,4,1,Male
822,57,Cis,6,4,1,Female
823,63,Cis,5,4,3,Male
824,36,Cis,5,4,1,Male
825,70,Cis,6,4,1,Female
826,18,Cis,2,1,3,Female
827,44,Cis,4,4,3,Male
828,52,Cis,5,4,1,Male
829,62,Cis,6,2,1,Female
830,51,Cis,5,4,1,Female
831,72,Cis,6,3,1,Male
832,72,Cis,4,4,1,Female
833,71,Cis,6,4,1,Female
834,58,Cis,5,4,1,Male
835,47,Cis,6,4,1,Female
836,46,Cis,2,3,1,Male
837,41,Cis,5,4,1,Female
838,57,Cis,6,4,1,Female
839,40,Cis,4,3,1,Female
840,62,Cis,4,4,1,Female
841,26,Cis,6,4,3,Male
842,72,Cis,2,3,1,Female
843,72,Cis,4,3,1,Male
844,69,Cis,4,4,1,Female
845,38,Cis,4,1,2,Female
846,50,Cis,2,3,1,Female
847,72,Cis,4,2,1,Female
848,53,Cis,5,4,3,Male
849,37,Cis,1,1,3,Male
850,22,Cis,4,4,3,Female
851,72,Cis,2,2,1,Male
852,40,Cis,4,4,3,Female
853,64,Cis,5,4,1,Female
854,72,Cis,4,2,1,Female
855,70,Cis,5,3,1,Female
856,63,Cis,2,4,4,Male
857,72,Cis,5,4,1,Female
858,49,Cis,4,3,1,Male
859,72,Cis,4,3,2,Male
860,24,Cis,5,4,5,Female
861,25,Cis,5,4,3,Male
862,64,Cis,5,4,1,Male
863,69,Cis,3,2,1,Female
864,55,Cis,5,4,1,Female
865,72,Cis,4,4,1,Female
866,47,Cis,4,4,1,Female
867,37,Cis,2,1,1,Female
868,20,Cis,4,4,1,Male
869,63,Cis,5,3,1,Male
870,64,Cis,4,3,3,Female
871,72,Cis,2,4,1,Male
872,71,Cis,5,4,1,Female
873,42,Cis,2,4,2,Female
874,64,Cis,6,4,5,Male
875,56,Cis,2,2,1,Female
876,50,Cis,6,4,1,Male
877,68,Cis,5,4,1,Male
878,57,Cis,2,3,1,Female
879,56,Cis,6,4,3,Female
880,37,Cis,4,4,1,Male
881,72,Cis,4,3,1,Female
882,57,Cis,4,1,1,Male
883,48,Cis,5,4,1,Female
884,40,Cis,4,2,3,Male
885,66,Cis,4,4,1,Male
886,45,Cis,6,3,1,Female
887,59,Cis,4,4,1,Female
888,71,Cis,5,4,1,Male
889,37,Cis,5,4,2,Male
890,56,Cis,6,4,1,Female
891,72,Cis,6,3,1,Male
892,72,Cis,6,4,1,Female
893,28,Cis,5,3,1,Female
894,52,Cis,4,4,1,Male
895,71,Cis,6,4,1,Male
896,59,Cis,6,4,5,Male
897,60,Cis,6,3,1,Female
898,68,Cis,4,4,1,Female
899,72,Cis,4,2,1,Female
900,68,Cis,6,4,1,Male
901,72,Cis,2,4,1,Female
902,69,Cis,5,4,1,Female
903,68,Cis,3,3,1,Female
904,51,Cis,2,2,1,Male
905,52,Cis,2,1,1,Male
906,69,Cis,6,4,1,Female
907,64,Cis,5,4,1,Male
908,72,Cis,1,2,1,Female
909,64,Cis,5,4,1,Male
910,72,Cis,5,4,1,Female
911,62,Cis,4,3,1,Female
912,42,Cis,4,2,1,Female
913,72,Cis,6,4,1,Male
914,63,Cis,4,4,1,Male
915,26,Cis,6,4,1,Male
916,72,Cis,6,4,1,Female
917,67,Cis,4,4,1,Female
918,49,Cis,5,4,1,Female
919,56,Cis,4,1,1,Male
920,58,Cis,3,1,1,Female
921,72,Cis,6,4,1,Male
922,64,Cis,4,4,1,Male
923,43,Cis,2,3,1,Male
924,64,Cis,4,4,1,Female
925,69,Cis,6,4,1,Female
926,54,Cis,5,2,1,Male
927,67,Cis,6,4,1,Male
928,25,Cis,4,1,1,Male
929,70,Cis,6,4,1,Male
930,47,Cis,4,4,1,Male
931,71,Cis,6,4,2,Male
932,72,Cis,6,4,1,Male
933,48,Cis,5,4,1,Female
934,24,Cis,4,1,1,Male
935,41,Cis,5,4,1,Male
936,72,Cis,1,2,5,Male
937,60,Cis,5,3,1,Female
938,40,Cis,4,1,1,Female
939,72,Cis,6,4,1,Female
940,72,Cis,4,2,1,Female
941,31,Cis,6,4,1,Female
942,57,Cis,4,4,1,Male
943,41,Cis,4,3,1,Male
944,22,Cis,5,4,3,Male
945,27,Cis,5,4,1,Male
946,54,Cis,2,4,1,Male
947,64,Cis,2,2,1,Male
948,64,Cis,4,4,1,Female
949,58,Cis,6,4,5,Female
950,30,Cis,2,2,1,Female
951,55,Cis,6,2,2,Female
952,65,Cis,5,3,1,Female
953,72,Cis,4,3,1,Female
954,58,Cis,4,3,1,Male
955,67,Cis,6,4,1,Female
956,49,Cis,4,4,1,Male
957,61,Cis,4,4,1,Female
958,71,Cis,4,2,1,Female
959,53,Cis,4,4,1,Male
960,55,Cis,5,4,1,Male
961,72,Cis,4,4,1,Female
962,59,Cis,4,4,1,Female
963,46,Cis,5,4,1,Female
964,69,Cis,4,2,1,Male
965,72,Cis,4,3,1,Female
966,51,Cis,5,2,1,Male
967,21,Cis,4,1,1,Male
968,56,Cis,2,4,1,Male
969,60,Cis,6,2,1,Male
970,63,Cis,5,4,1,Male
971,64,Cis,2,3,2,Female
972,40,Cis,5,4,1,Female
973,48,Cis,4,4,1,Female
974,72,Cis,5,4,1,Male
975,47,Cis,4,3,1,Female
976,72,Cis,6,4,1,Male
977,34,Cis,5,3,1,Male
978,70,Cis,6,4,1,Female
979,72,Cis,5,4,1,Female
980,35,Cis,4,3,1,Male
981,21,Cis,4,4,1,Male
982,62,Cis,6,4,1,Male
983,72,Cis,5,4,1,Female
984,71,Cis,2,4,1,Male
985,56,Cis,6,2,5,Male
986,53,Cis,4,4,1,Female
987,72,Cis,2,2,1,Female
988,40,Cis,4,3,1,Female
989,68,Cis,6,3,1,Male
990,19,Cis,4,1,5,Male
991,55,Cis,4,2,3,Male
992,45,Cis,5,4,1,Female
993,72,Cis,4,1,1,Female
994,72,Cis,2,4,1,Female
995,35,Cis,6,4,1,Male
996,55,Cis,4,4,3,Male
997,58,Cis,5,4,1,Male
998,72,Cis,6,4,1,Male
999,59,Cis,4,1,1,Female
1000,69,Cis,4,3,1,Male
1001,35,Cis,5,4,1,Female
1002,27,Cis,1,1,4,Female
1003,60,Cis,6,4,1,Female
1004,72,Cis,6,2,1,Female
1005,72,Cis,4,2,2,Female
1006,38,Cis,6,4,5,Female
1007,61,Cis,6,4,1,Female
1008,46,Cis,5,4,1,Female
1009,47,Cis,5,4,1,Male
1010,29,Cis,5,3,1,Male
1011,55,Cis,6,4,1,Female
1012,29,Cis,4,4,1,Female
1013,67,Cis,6,4,1,Male
1014,39,Cis,4,4,1,Male
1015,47,Cis,2,4,1,Female
1016,72,Cis,5,3,1,Male
1017,63,Cis,4,4,1,Female
1018,50,Cis,4,4,1,Female
1019,54,Cis,5,4,1,Female
1020,54,Cis,5,3,1,Female
1021,72,Cis,4,4,4,Male
1022,34,Cis,2,4,2,Male
1023,72,Cis,4,3,1,Male
1024,72,Cis,6,4,1,Female
1025,63,Cis,6,4,1,Male
1026,65,Cis,4,3,1,Male
1027,46,Cis,4,4,1,Male
1028,64,Cis,5,4,1,Female
1029,61,Cis,2,2,4,Male
1030,29,Cis,6,4,5,Female
1031,60,Cis,5,4,1,Male
1032,45,Cis,4,4,1,Female
1033,64,Cis,4,4,1,Male
1034,52,Cis,6,4,1,Female
1035,66,Cis,1,4,1,Male
1036,22,Cis,5,3,3,Female
1037,71,Cis,5,4,1,Male
1038,72,Cis,4,2,1,Female
1039,52,Cis,4,3,1,Male
1040,67,Cis,6,4,1,Male
1041,56,Cis,4,3,1,Male
1042,50,Cis,6,4,1,Female
1043,20,Cis,4,4,1,Female
1044,58,Cis,6,4,1,Female
1045,72,Cis,3,2,1,Female
1046,72,Cis,6,3,1,Female
1047,61,Cis,3,4,1,Male
1048,62,Cis,5,4,1,Female
1049,72,Cis,6,1,1,Female
1050,68,Cis,4,4,1,Female
1051,69,Cis,2,2,1,Female
1052,42,Cis,6,2,1,Female
1053,37,Cis,4,1,1,Female
1054,36,Cis,5,4,1,Female
1055,42,Cis,5,4,5,Male
1056,58,Cis,6,4,1,Male
1057,56,Cis,5,4,1,Male
1058,60,Cis,4,4,1,Male
1059,54,Cis,2,2,4,Female
1060,47,Cis,6,4,1,Female
1061,36,Cis,5,3,1,Female
1062,40,Cis,4,4,2,Male
1063,43,Cis,4,4,1,Female
1064,68,Cis,4,2,1,Female
1065,58,Cis,1,1,2,Female
1066,66,Cis,6,4,1,Male
1067,72,Cis,5,4,1,Male
1068,72,Cis,6,4,1,Female
1069,72,Cis,5,4,1,Female
1070,72,Cis,2,3,1,Female
1071,64,Cis,6,4,4,Female
1072,40,Cis,4,2,2,Female
1073,41,Cis,3,3,3,Male
1074,48,Cis,4,3,1,Male
1075,72,Cis,3,3,1,Male
1076,72,Cis,6,4,1,Male
1077,57,Cis,4,4,1,Female
1078,72,Cis,5,4,1,Male
1079,65,Cis,4,1,1,Male
1080,67,Cis,6,4,1,Female
1081,71,Cis,5,4,1,Female
1082,26,Cis,2,2,4,Male
1083,65,Cis,6,4,1,Female
1084,72,Cis,6,4,1,Male
1085,27,Cis,6,2,1,Male
1086,69,Cis,4,4,1,Female
1087,22,Cis,5,1,1,Female
1088,36,Cis,5,4,1,Male
1089,62,Cis,6,2,1,Female
1090,38,Cis,6,4,3,Male
1091,62,Cis,6,4,1,Female
1092,53,Cis,4,4,1,Female
1093,51,Cis,5,4,1,Female
1094,56,Cis,1,4,1,Female
1095,38,Cis,5,4,1,Female
1096,64,Cis,6,3,3,Female
1097,22,Cis,5,4,1,Female
1098,63,Cis,5,4,1,Male
1099,42,Cis,6,4,1,Male
1100,52,Cis,5,1,3,Female
1101,72,Cis,5,4,1,Female
1102,72,Cis,5,4,1,Female
1103,72,Cis,6,1,1,Female
1104,53,Cis,2,2,1,Female
1105,50,Cis,6,3,2,Male
1106,72,Cis,6,4,1,Male
1107,72,Cis,6,3,1,Female
1108,72,Cis,4,2,1,Female
1109,72,Cis,6,4,1,Male
1110,61,Cis,5,4,1,Female
1111,71,Cis,4,3,1,Female
1112,55,Cis,5,2,1,Female
1113,44,Cis,4,3,2,Male
1114,24,Cis,5,1,1,Male
1115,62,Cis,5,4,1,Female
1116,69,Cis,5,3,1,Male
1117,71,Cis,4,4,1,Female
1118,52,Cis,2,3,1,Male
1119,57,Cis,5,4,2,Male
1120,71,Cis,2,4,1,Female
1121,60,Cis,6,4,1,Female
1122,23,Cis,4,2,3,Male
1123,48,Cis,4,3,1,Male
1124,66,Cis,4,3,1,Male
1125,59,Cis,4,2,1,Female
1126,70,Cis,2,4,1,Female
1127,70,Cis,4,1,1,Male
1128,72,Cis,5,4,1,Female
1129,67,Cis,5,4,1,Male
1130,71,Cis,5,4,1,Female
1131,69,Cis,5,4,1,Male
1132,72,Cis,3,3,1,Male
1133,65,Cis,3,4,1,Male
1134,52,Cis,4,4,1,Male
1135,52,Cis,4,4,1,Female
1136,67,Cis,4,1,4,Female
1137,43,Cis,6,4,5,Female
1138,58,Cis,2,1,3,Female
1139,36,Cis,6,4,1,Male
1140,52,Cis,5,4,1,Male
1141,72,Cis,4,4,1,Female
1142,55,Cis,2,1,1,Male
1143,68,Cis,4,2,1,Female
1144,46,Cis,5,4,2,Male
1145,65,Cis,6,4,1,Female
1146,42,Cis,4,4,1,Female
1147,59,Cis,5,4,1,Female
1148,47,Cis,6,4,1,Male
1149,70,Cis,4,1,4,Male
1150,65,Cis,6,4,1,Female
1151,55,Cis,4,2,1,Female
1152,72,Cis,6,4,1,Male
1153,46,Cis,4,4,1,Male
1154,66,Cis,6,4,1,Male
1155,53,Cis,4,4,1,Female
1156,35,Cis,5,2,1,Male
1157,69,Cis,6,4,1,Female
1158,59,Cis,5,4,1,Male
1159,32,Cis,3,4,1,Male
1160,43,Cis,6,4,4,Female
1161,34,Cis,4,4,1,Male
1162,32,Cis,4,2,1,Female
1163,60,Cis,4,1,1,Female
1164,66,Cis,4,3,1,Male
1165,60,Cis,5,4,1,Female
1166,72,Cis,4,2,2,Female
1167,72,Cis,2,2,1,Female
1168,72,Cis,2,3,1,Female
1169,41,Cis,6,3,4,Female
1170,70,Cis,5,4,1,Male
1171,72,Cis,3,2,4,Male
1172,71,Cis,4,4,1,Female
1173,52,Cis,5,3,1,Male
1174,35,Cis,5,1,2,Female
1175,63,Cis,4,3,1,Male
1176,41,Cis,6,4,5,Male
1177,28,Cis,5,4,1,Male
1178,59,Cis,6,3,1,Male
1179,52,Cis,4,4,2,Male
1180,59,Cis,3,1,4,Male
1181,21,Cis,4,1,1,Female
1182,72,Cis,5,3,2,Female
1183,72,Cis,4,3,1,Female
1184,41,Cis,5,4,1,Female
1185,45,Cis,4,4,1,Female
1186,71,Cis,6,4,1,Female
1187,63,Cis,5,4,1,Male
1188,63,Cis,5,4,1,Male
1189,35,Cis,5,1,4,Female
1190,38,Cis,4,2,1,Male
1191,67,Cis,4,4,1,Female
1192,27,Cis,5,4,5,Male
1193,61,Cis,4,4,1,Female
1194,55,Cis,5,3,1,Male
1195,64,Cis,2,1,1,Female
1196,65,Cis,5,4,1,Male
1197,20,Cis,4,1,3,Male
1198,66,Cis,5,4,1,Male
1199,39,Cis,6,4,1,Male
1200,72,Cis,2,4,1,Male
1201,47,Cis,5,4,3,Female
1202,46,Cis,6,4,1,Female
1203,39,Cis,6,4,4,Male
1204,61,Cis,6,4,3,Male
1205,67,Cis,6,4,1,Female
1206,33,Cis,5,4,1,Male
1207,65,Cis,4,1,1,Male
1208,48,Cis,6,4,5,Male
1209,48,Cis,6,4,1,Female
1210,25,Cis,5,3,3,Female
1211,70,Cis,5,4,1,Female
1212,72,Cis,6,4,1,Male
1213,60,Cis,5,4,1,Male
1214,40,Cis,5,4,1,Female
1215,38,Cis,6,4,4,Female
1216,37,Cis,2,1,1,Male
1217,55,Cis,5,4,1,Female
1218,64,Cis,4,4,1,Male
1219,31,Cis,5,4,1,Female
1220,49,Cis,4,4,1,Male
1221,72,Cis,5,3,1,Male
1222,72,Cis,4,4,1,Male
1223,44,Cis,4,2,1,Male
1224,61,Cis,5,4,1,Female
1225,61,Cis,4,4,1,Female
1226,72,Cis,6,4,1,Male
1227,59,Cis,6,4,1,Male
1228,30,Cis,6,4,1,Male
1229,72,Cis,5,2,1,Male
1230,59,Cis,2,4,1,Male
1231,38,Cis,4,2,1,Male
1232,49,Cis,4,2,1,Male
1233,59,Cis,5,1,1,Female
1234,72,Cis,6,4,1,Female
1235,37,Cis,6,4,1,Female
1236,71,Cis,5,3,1,Female
1237,44,Cis,5,4,2,Female
1238,41,Cis,6,4,1,Female
1239,18,Cis,1,4,1,Female
1240,50,Cis,2,4,1,Male
1241,62,Cis,6,4,1,Female
1242,70,Cis,2,2,4,Male
1243,71,Cis,4,4,1,Female
1244,67,Cis,4,3,1,Female
1245,54,Cis,5,4,1,Male
1246,72,Cis,1,2,3,Female
1247,59,Cis,6,4,2,Female
1248,42,Cis,5,4,1,Female
1249,72,Cis,6,4,1,Male
1250,72,Cis,4,3,1,Female
1251,51,Cis,5,4,1,Female
1252,57,Cis,4,4,1,Female
1253,24,Cis,6,4,1,Female
1254,45,Cis,5,4,1,Female
1255,23,Cis,4,1,1,Male
1256,70,Cis,6,4,5,Male
1257,67,Cis,4,4,1,Female
1258,72,Cis,4,3,3,Female
1259,28,Cis,6,4,1,Female
1260,53,Cis,6,4,1,Male
1261,59,Cis,6,4,1,Female
1262,52,Cis,5,4,1,Male
1263,72,Cis,4,4,2,Male
1264,72,Cis,6,4,1,Female
1265,64,Cis,5,4,4,Male
1266,72,Cis,6,4,1,Female
1267,65,Cis,1,2,1,Female
1268,72,Cis,6,4,1,Female
1269,72,Cis,4,2,1,Female
1270,72,Cis,5,4,1,Male
1271,21,Cis,4,1,1,Female
1272,56,Cis,4,4,1,Female
1273,59,Cis,4,4,1,Male
1274,44,Cis,5,4,1,Female
1275,72,Cis,2,4,1,Male
1276,72,Cis,5,4,1,Female
1277,69,Cis,4,3,1,Female
1278,71,Cis,6,4,1,Male
1279,63,Cis,2,4,1,Male
1280,38,Cis,6,3,5,Male
1281,36,Cis,4,2,1,Female
1282,57,Cis,4,4,1,Male
1283,66,Cis,5,4,1,Male
1284,23,Cis,4,3,1,Male
1285,18,Cis,2,4,5,Male
1286,72,Cis,6,4,1,Female
1287,72,Cis,4,3,1,Female
1288,23,Cis,5,1,3,Male
1289,58,Cis,5,4,3,Female
1290,70,Cis,6,4,1,Female
1291,46,Cis,4,4,1,Male
1292,66,Cis,4,4,4,Female
1293,47,Cis,6,4,1,Female
1294,72,Cis,4,2,1,Female
1295,72,Cis,4,2,3,Male
1296,72,Cis,6,4,1,Female
1297,57,Cis,4,4,1,Female
1298,35,Cis,6,4,1,Male
1299,34,Cis,4,3,1,Male
1300,43,Cis,6,4,1,Male
1301,50,Cis,5,4,1,Male
1302,69,Cis,5,4,1,Male
1303,72,Cis,6,4,1,Female
1304,72,Cis,6,4,1,Female
1305,59,Cis,5,2,5,Male
1306,49,Cis,4,4,1,Female
1307,56,Cis,5,3,1,Male
1308,62,Cis,1,1,1,Female
1309,72,Cis,2,4,1,Female
1310,32,Cis,3,3,1,Female
1311,60,Cis,5,4,1,Male
1312,26,Cis,5,4,1,Male
1313,39,Cis,5,3,1,Female
1314,43,Cis,5,4,1,Female
1315,52,Cis,3,1,1,Female
1316,52,Cis,5,4,2,Female
1317,60,Cis,3,1,2,Female
1318,49,Cis,5,4,1,Female
1319,71,Cis,6,4,1,Male
1320,63,Cis,5,4,1,Male
1321,53,Cis,5,4,1,Male
1322,72,Cis,5,3,1,Female
1323,65,Cis,6,4,1,Male
1324,72,Cis,2,2,1,Female
1325,65,Cis,5,3,1,Female
1326,72,Cis,4,3,1,Female
1327,72,Cis,2,2,1,Female
1328,42,Cis,4,2,1,Female
1329,42,Cis,6,2,1,Female
1330,54,Cis,3,1,4,Female
1331,64,Cis,6,2,1,Female
1332,45,Cis,5,3,1,Male
1333,70,Cis,4,4,1,Female
1334,66,Cis,4,4,1,Female
1335,70,Cis,6,4,1,Male
1336,57,Cis,3,4,1,Male
1337,57,Cis,5,4,1,Female
1338,72,Cis,6,4,1,Female
1339,72,Cis,6,4,1,Female
1340,34,Trans,2,2,1,Male
1341,58,Cis,2,2,1,Female
1342,53,Cis,4,3,3,Female
1343,63,Cis,5,1,1,Male
1344,38,Cis,4,4,1,Male
1345,43,Cis,4,3,2,Female
1346,61,Cis,6,4,1,Male
1347,40,Cis,5,4,1,Male
1348,64,Cis,5,4,3,Female
1349,70,Cis,4,4,1,Female
1350,59,Cis,5,4,4,Male
1351,60,Cis,1,2,1,Female
1352,52,Cis,4,1,2,Female
1353,54,Cis,6,4,1,Female
1354,45,Cis,5,4,1,Male
1355,43,Cis,5,4,1,Male
1356,27,Cis,5,3,1,Male
1357,58,Cis,5,4,1,Female
1358,72,Cis,6,4,1,Male
1359,57,Cis,2,1,1,Female
1360,27,Cis,5,4,1,Female
1361,34,Cis,6,4,2,Female
1362,72,Cis,5,2,1,Female
1363,35,Cis,6,4,5,Female
1364,50,Cis,4,4,1,Male
1365,71,Cis,6,4,1,Male
1366,27,Cis,5,3,1,Female
1367,56,Cis,2,1,2,Female
1368,71,Cis,2,4,1,Male
1369,72,Cis,6,4,1,Female
1370,37,Cis,2,1,1,Female
1371,67,Cis,4,2,1,Male
1372,72,Cis,6,4,1,Female
1373,52,Cis,2,4,1,Male
1374,43,Cis,6,4,1,Male
1375,33,Cis,4,3,1,Female
1376,69,Cis,5,4,1,Male
1377,69,Cis,4,2,1,Female
1378,59,Cis,6,4,1,Female
1379,50,Cis,6,4,1,Female
1380,72,Cis,2,3,1,Female
1381,72,Cis,2,2,1,Male
1382,72,Cis,5,4,1,Female
1383,34,Cis,4,4,1,Female
1384,72,Cis,4,2,1,Female
1385,40,Cis,6,4,1,Female
1386,26,Cis,5,3,1,Male
1387,51,Cis,6,4,1,Female
1388,72,Cis,5,4,1,Male
1389,55,Cis,5,4,3,Female
1390,36,Cis,5,3,1,Female
1391,52,Cis,4,4,1,Female
1392,47,Cis,5,3,1,Male
1393,72,Cis,5,4,5,Male
1394,72,Cis,6,4,3,Male
1395,58,Cis,2,2,1,Female
1396,31,Cis,4,4,3,Male
1397,55,Cis,5,4,1,Female
1398,55,Cis,6,3,1,Male
1399,72,Cis,4,2,1,Female
1400,72,Cis,5,4,1,Male
1401,66,Cis,2,2,1,Female
1402,24,Cis,5,4,1,Female
1403,72,Cis,6,4,1,Male
1404,71,Cis,2,2,3,Male
1405,72,Cis,6,4,1,Male
1406,69,Cis,4,4,1,Male
1407,45,Cis,5,4,1,Male
1408,55,Cis,4,3,2,Female
1409,66,Cis,4,4,1,Male
1410,53,Cis,4,3,1,Female
1411,65,Cis,6,4,1,Female
1412,52,Cis,4,2,2,Female
1413,52,Cis,2,2,1,Male
1414,18,Cis,4,4,2,Female
1415,57,Cis,4,3,1,Male
1416,48,Cis,6,4,1,Male
1417,51,Cis,6,4,5,Male
1418,35,Cis,5,4,1,Male
1419,18,Cis,4,2,4,Female
1420,60,Cis,4,3,4,Female
1421,52,Cis,6,4,5,Female
1422,47,Cis,6,4,1,Female
1423,65,Cis,4,4,1,Male
1424,50,Cis,6,4,1,Male
1425,29,Cis,5,1,1,Male
1426,62,Cis,2,1,1,Female
1427,39,Cis,6,4,1,Female
1428,49,Cis,6,4,3,Male
1429,60,Cis,2,4,1,Male
1430,72,Cis,5,4,1,Female
1431,19,Cis,4,3,3,Male
1432,70,Cis,4,4,1,Female
1433,51,Cis,2,1,1,Male
1434,53,Cis,5,4,1,Male
1435,65,Cis,4,2,2,Male
