,TRANS_CIS,WEIGHT_CISGENDER_TRANSPOP,Q88,HINC_I,AGE,Q85,RACE_RECODE_CAT5,Q93,SEX,GENDER_IDENTITY,POVERTYCAT_I,Q99,Q200,Q205_I,GEDUCATION,HINC_I_means,HINC_I_strat,CURRENT_SEX
378,0,2.4235230833166,0,2,-0.3729918179906207,1,1,1,1,2,1,0,1,3,4,-1.316443321823278,0,1
379,0,0.3826982854553,0,10,0.8743990257480324,1,1,3,1,2,4,0,1,1,6,-0.053702511289635234,1,1
380,0,1.2589095129147,0,9,1.111997281698252,1,1,3,1,2,4,0,1,2,2,-0.3167735134841442,1,1
381,0,0.3869948574171,0,4,-0.6105900739408403,0,5,3,0,1,1,0,1,4,4,-1.1059865200676708,0,0
382,0,3.1624490995633,0,8,-1.560983097741719,0,1,4,1,2,4,0,0,1,3,-0.5272303152397513,0,1
383,0,4.6055595279225,1,3,-1.8579809176794935,0,1,2,1,2,1,0,1,3,1,-1.2112149209454746,0,1
384,0,2.1967442766861,0,12,-1.6203826617292738,1,1,3,1,2,4,0,0,4,6,1.1564240988051058,2,1
385,0,1.9990825840698,0,8,1.111997281698252,1,1,4,0,1,3,0,1,2,1,-0.5272303152397513,0,0
386,0,3.3695489676804,0,11,-1.1451861498288345,0,1,4,0,1,4,0,1,4,2,0.2619826913437755,1,0
387,0,0.4915709826612,0,12,1.111997281698252,1,1,3,0,1,4,0,1,2,6,1.1564240988051058,2,0
388,0,0.620260997891,0,11,0.6368007697978127,1,1,4,0,1,4,0,1,2,3,0.2619826913437755,1,0
389,0,2.6602876177356,0,7,-1.2639852778039444,1,1,3,1,2,2,0,1,4,4,-0.7376871169953584,0,1
390,0,1.6057253355694,0,5,0.2210038218849284,1,1,2,0,1,2,0,1,2,3,-1.0007581191898673,0,0
391,0,0.5718642583463,0,7,0.8743990257480324,1,1,3,0,1,3,1,0,2,4,-0.7376871169953584,0,0
392,0,2.6589186762304,0,12,0.16160425789737348,1,1,2,1,2,4,0,1,2,2,1.1564240988051058,2,1
393,0,0.5800403286706,0,11,1.111997281698252,1,1,2,0,1,4,1,1,2,6,0.2619826913437755,1,0
394,0,0.2393923199156,0,5,0.7555998977729226,1,1,2,1,2,2,0,1,1,5,-1.0007581191898673,0,1
395,0,0.357932782057,0,12,0.33980294986003823,1,1,4,1,2,4,0,1,3,5,1.1564240988051058,2,1
396,0,1.1625808311716,0,10,1.111997281698252,1,1,2,0,1,4,0,1,2,6,-0.053702511289635234,1,0
397,0,1.0326217886142,1,4,-0.25419269001551087,0,1,5,1,2,2,0,0,1,4,-1.1059865200676708,0,1
398,0,1.407536126088,0,3,0.5774012058102579,1,2,4,1,2,1,0,1,1,4,-1.2112149209454746,0,1
399,0,0.2951362629776,0,12,0.7555998977729226,1,1,4,1,2,4,0,0,2,6,1.1564240988051058,2,1
400,0,5.7960370534757,0,11,-1.0857865858412796,1,1,4,0,1,3,0,1,5,2,0.2619826913437755,1,0
401,0,0.4451483722268,0,9,0.5180016418227029,1,1,4,1,2,4,0,1,2,5,-0.3167735134841442,1,1
402,0,0.5825405025011,0,11,0.8743990257480324,1,1,4,0,1,4,0,1,2,6,0.2619826913437755,1,0
403,0,0.48532721143,0,13,0.2210038218849284,1,1,3,0,1,4,0,1,3,6,1.6825661031941237,2,0
404,0,0.4128019196741,0,10,0.8149994617604774,0,1,4,0,1,4,0,0,1,5,-0.053702511289635234,1,0
405,0,2.5980022759227,0,3,-1.7985813536919386,1,1,3,1,2,1,0,0,1,4,-1.2112149209454746,0,1
406,0,1.0761083394144,0,4,0.6962003337853676,1,2,4,1,2,2,0,1,0,5,-1.1059865200676708,0,1
407,0,1.2341961960998,0,4,1.111997281698252,1,1,3,0,1,2,0,0,1,2,-1.1059865200676708,0,0
408,0,2.6819735505212,0,5,-0.3729918179906207,1,1,4,1,2,2,0,1,2,1,-1.0007581191898673,0,1
409,0,1.0809421582381,0,11,-0.07599399805284615,1,1,4,0,1,4,0,1,4,6,0.2619826913437755,1,0
410,0,0.710922069637,0,12,0.2804033858724833,0,1,5,1,2,4,0,0,1,6,1.1564240988051058,2,1
411,0,3.3532139985746,0,8,1.111997281698252,1,1,4,1,2,3,0,1,2,2,-0.5272303152397513,0,1
412,0,1.1635068781682,0,5,-1.6797822257168287,0,1,3,1,2,2,0,0,2,5,-1.0007581191898673,0,1
413,0,0.547711944199,0,8,1.111997281698252,1,4,4,1,2,4,0,1,1,4,-0.5272303152397513,0,1
414,0,5.1441784532543,0,7,-1.7985813536919386,1,1,4,0,1,3,0,0,0,2,-0.7376871169953584,0,0
415,0,1.2689836789981,0,13,1.111997281698252,1,1,3,0,1,4,0,1,2,5,1.6825661031941237,2,0
416,0,0.343726227451,0,10,1.111997281698252,1,1,5,0,1,4,0,1,1,4,-0.053702511289635234,1,0
417,0,0.8443697519656,0,4,1.111997281698252,1,1,2,1,2,2,1,1,1,4,-1.1059865200676708,0,1
418,0,0.2393923199156,0,3,0.3992025138475931,1,1,2,0,1,1,1,1,1,4,-1.2112149209454746,0,0
419,0,1.1546560117538,0,8,0.458602077835148,1,1,4,0,1,3,1,1,2,3,-0.5272303152397513,0,0
420,0,0.5831626427439,1,5,1.111997281698252,1,1,3,1,2,2,0,1,1,2,-1.0007581191898673,0,1
421,0,0.5748070797039,0,12,-0.016594434065291246,1,1,3,1,2,4,0,1,2,4,1.1564240988051058,2,1
422,0,0.6781903403966,0,10,0.2804033858724833,1,1,5,1,2,4,0,1,2,5,-0.053702511289635234,1,1
423,0,2.4841440454022,0,13,-0.3135922540030658,1,1,5,1,2,4,0,1,4,6,1.6825661031941237,2,1
424,0,0.2467237316557,0,9,1.111997281698252,1,4,4,0,1,4,0,1,1,6,-0.3167735134841442,1,0
425,0,4.0258749488275,1,8,-1.8579809176794935,1,1,2,1,2,3,0,0,3,4,-0.5272303152397513,0,1
426,0,0.2829398387701,1,5,0.2804033858724833,0,1,3,1,2,2,0,0,1,6,-1.0007581191898673,0,1
427,0,0.4286825586698,0,10,1.111997281698252,1,1,4,0,1,4,0,1,1,4,-0.053702511289635234,1,0
429,0,0.8993299362774,0,10,-0.9075878938786148,1,1,3,1,2,3,0,1,5,5,-0.053702511289635234,1,1
430,0,0.601300612132,0,3,1.111997281698252,1,1,3,1,2,2,0,1,1,2,-1.2112149209454746,0,1
431,0,0.4137905568112,0,10,1.111997281698252,1,1,3,1,2,4,0,1,1,4,-0.053702511289635234,1,1
432,0,0.6986576911923,0,10,1.052597717710697,1,1,4,0,1,4,1,0,2,4,-0.053702511289635234,1,0
433,0,1.1561844520653,0,12,-0.4323913819781756,1,1,4,0,1,4,0,0,2,5,1.1564240988051058,2,0
434,0,0.6956064583489,0,3,1.111997281698252,1,1,3,1,2,2,1,1,1,5,-1.2112149209454746,0,1
435,0,2.5622426000014,0,13,-0.9669874578661698,1,3,2,1,2,4,0,1,3,6,1.6825661031941237,2,1
436,0,0.6626574310747,0,5,0.9337985897355873,0,1,3,1,2,2,0,1,2,4,-1.0007581191898673,0,1
437,0,1.3411928533754,0,10,-0.84818832989106,0,4,3,1,2,3,0,1,5,4,-0.053702511289635234,1,1
438,0,1.0159557256138,1,8,0.2210038218849284,1,1,1,1,2,3,0,1,2,6,-0.5272303152397513,0,1
439,0,0.2908629312827,0,11,1.111997281698252,1,1,3,0,1,4,0,1,2,6,0.2619826913437755,1,0
440,0,2.6163621375832,0,11,-0.3135922540030658,1,1,2,0,1,4,0,1,2,2,0.2619826913437755,1,0
441,0,1.7610548007187,0,12,0.7555998977729226,1,1,3,1,2,4,0,1,2,5,1.1564240988051058,2,1
442,0,0.6206814463697,0,9,0.9931981537231422,1,5,3,0,1,4,0,1,2,6,-0.3167735134841442,1,0
443,0,1.237757526484,1,11,-1.1451861498288345,1,1,2,0,1,4,1,1,4,4,0.2619826913437755,1,0
444,0,0.2790326009223,0,3,1.111997281698252,1,1,3,1,2,2,1,1,1,4,-1.2112149209454746,0,1
445,0,0.5477065940909,0,1,1.111997281698252,0,1,3,1,2,1,1,0,1,5,-1.4216717227010816,0,1
446,0,1.6329343999709,1,9,-0.5511905099532854,1,1,3,1,2,3,0,1,3,4,-0.3167735134841442,1,1
447,0,0.9968258302594,0,0,0.2210038218849284,0,1,3,1,2,1,0,1,2,4,-1.4742859231399834,0,1
448,0,1.0961297821945,0,7,1.111997281698252,1,1,1,1,2,3,1,1,1,2,-0.7376871169953584,0,1
449,0,1.1344328998503,1,2,0.2804033858724833,0,1,3,1,2,1,0,1,1,2,-1.316443321823278,0,1
450,0,0.468365897576,0,13,1.111997281698252,1,1,4,0,1,4,1,1,1,6,1.6825661031941237,2,0
451,0,0.4860470561813,0,13,-0.13539356204040107,1,1,3,0,1,4,0,1,4,5,1.6825661031941237,2,0
452,0,0.2608329397758,0,8,0.8149994617604774,1,1,3,0,1,4,0,1,1,4,-0.5272303152397513,0,0
453,0,0.4363361338818,0,10,0.9337985897355873,1,1,3,1,2,4,1,0,2,4,-0.053702511289635234,1,1
454,0,0.5424886772648,0,10,1.111997281698252,1,1,4,0,1,4,0,1,2,4,-0.053702511289635234,1,0
455,0,2.7854537121833,0,13,-1.6797822257168287,1,1,4,0,1,4,0,0,1,4,1.6825661031941237,2,0
456,0,1.0056855760282,0,3,0.8149994617604774,1,1,4,1,2,1,0,1,3,2,-1.2112149209454746,0,1
457,0,0.8488247971399,0,12,1.111997281698252,1,1,4,1,2,4,0,1,2,5,1.1564240988051058,2,1
458,0,0.2530117709002,0,11,1.052597717710697,1,1,4,1,2,4,0,1,1,6,0.2619826913437755,1,1
459,0,0.8073377764889,0,10,0.6962003337853676,1,1,2,0,1,4,0,1,2,4,-0.053702511289635234,1,0
460,0,0.3627550548983,0,5,0.8743990257480324,0,1,3,0,1,2,0,0,1,4,-1.0007581191898673,0,0
461,0,0.6325940376018,0,10,0.5180016418227029,1,1,5,0,1,4,0,1,2,5,-0.053702511289635234,1,0
462,0,0.8726722677637,0,9,1.052597717710697,0,1,4,0,1,4,0,1,2,4,-0.3167735134841442,1,0
463,0,0.2393923199156,0,2,0.7555998977729226,0,4,3,1,2,1,0,1,0,4,-1.316443321823278,0,1
465,0,0.6307807368036,1,4,0.6368007697978127,1,1,3,1,2,1,0,1,6,4,-1.1059865200676708,0,1
466,0,0.7005156202441,1,13,0.458602077835148,0,1,3,1,2,4,0,1,2,5,1.6825661031941237,2,1
